length_context,length_question,length_entities,entity_num,correct
1259,9,36,160,0
745,18,34,73,0
180,9,7,4,1
518,10,20,1,0
315,16,24,30,0
602,21,28,36,0
491,16,22,10,0
923,16,31,1,1
407,5,16,4,0
527,14,29,5,1
931,15,39,11,1
672,9,16,14,1
571,11,31,4,1
249,8,9,53,0
638,15,51,2,0
392,14,18,0,0
325,16,10,30,0
1459,16,51,2,1
895,15,18,129,0
411,12,16,6,1
513,9,10,13,1
472,11,16,4,1
478,14,17,8,1
1490,13,90,32,0
792,13,18,27,0
959,15,15,7,1
1483,15,50,11,1
576,8,52,0,1
299,13,11,1,1
1264,15,19,3,0
502,19,72,34,0
664,14,15,4,1
1322,15,42,215,0
491,14,20,1,0
931,10,39,7,1
282,15,22,10,1
250,8,14,2,0
1045,25,35,1,1
456,14,19,7,1
317,5,9,19,1
163,13,15,18,0
648,21,10,105,0
595,17,30,70,0
818,11,28,18,0
411,12,16,2,1
1364,15,33,32,0
1104,12,29,172,0
155,7,9,3,0
1787,13,30,11,1
469,19,9,13,1
850,17,15,30,0
790,9,18,9,1
436,20,9,3,0
453,10,11,1,1
872,19,28,1,0
923,14,19,12,0
605,7,18,1,1
945,7,11,45,0
253,12,10,0,1
288,9,13,0,1
842,16,24,0,0
351,10,11,5,1
1349,13,42,122,0
1269,11,33,158,0
283,14,10,8,1
1208,17,33,4,1
307,18,9,9,1
876,17,27,25,1
595,10,22,14,0
776,15,20,21,1
775,8,40,48,0
573,13,18,3,0
863,19,18,0,1
655,23,8,3,1
364,11,17,5,1
1195,10,33,13,1
404,22,15,14,1
592,14,36,12,1
359,5,11,8,1
992,12,23,18,0
565,11,12,6,0
169,12,8,0,1
941,11,43,15,1
1046,14,47,25,0
1787,17,30,371,0
588,13,39,14,0
369,8,7,5,0
328,16,30,49,0
313,15,9,12,0
345,17,15,54,0
1219,20,30,0,1
685,17,21,0,1
1382,17,53,253,0
367,14,17,10,0
323,8,13,0,1
1051,17,32,39,0
313,14,12,2,0
282,16,22,4,0
924,23,26,65,0
462,11,13,12,1
786,20,14,34,0
1233,13,44,22,0
1024,24,19,4,1
154,14,9,5,1
502,8,41,70,0
1218,13,24,2,0
711,16,29,1,1
249,8,9,39,0
1191,17,19,5,1
622,15,19,2,1
822,9,28,1,1
596,12,23,5,1
230,37,12,21,1
612,14,22,38,0
1122,11,19,6,1
1490,12,90,10,0
821,17,16,2,0
815,12,19,7,1
802,11,39,5,0
882,14,47,26,0
225,7,11,5,0
775,9,40,7,1
1162,17,33,18,0
1119,12,18,25,0
322,10,23,2,1
844,20,40,8,1
1349,20,42,0,1
1140,17,24,6,1
284,10,12,0,1
552,12,16,1,1
882,14,47,16,0
1381,11,31,2,0
1064,17,19,0,1
314,17,19,14,0
1278,18,28,34,0
912,24,43,0,0
543,12,14,16,0
445,9,29,6,1
974,21,39,106,0
1490,13,90,7,0
427,12,10,12,0
670,22,19,32,0
875,12,71,16,1
890,17,26,4,1
345,15,15,44,0
1206,11,24,8,1
1572,20,52,0,1
358,16,13,2,0
161,13,9,2,1
630,26,8,2,1
822,16,28,32,0
380,14,13,5,1
524,9,13,2,1
898,20,40,8,1
332,17,9,7,1
735,12,31,3,1
1322,10,59,28,0
989,13,24,7,0
1063,12,12,238,0
1540,16,39,36,0
283,13,19,11,1
1580,10,45,0,1
919,14,29,8,1
1104,14,27,13,1
1374,15,46,46,0
868,12,29,22,0
282,16,22,10,1
565,10,12,16,0
822,9,28,4,0
474,16,28,57,0
609,7,43,17,0
1206,8,62,12,0
293,7,11,3,0
1064,10,19,0,1
751,9,26,27,0
1490,12,90,6,1
341,13,14,7,1
595,10,22,3,1
1478,16,48,6,0
613,10,12,0,1
475,11,24,4,1
1057,10,31,20,1
250,5,14,5,1
665,11,41,90,0
348,13,15,2,0
838,11,33,0,1
503,10,19,10,0
511,17,19,94,0
480,13,10,1,1
227,8,25,12,0
530,23,16,2,0
952,16,20,1,0
1045,25,35,0,0
353,10,12,2,0
763,12,21,2,0
125,6,2,3,1
577,20,16,5,0
909,21,16,4,1
1189,10,31,0,1
1226,11,26,10,1
399,14,11,9,0
1306,12,42,9,0
137,5,6,5,0
844,11,20,9,0
651,16,28,13,0
351,15,13,8,0
273,14,15,1,1
651,21,15,37,0
563,13,19,0,0
321,11,15,51,0
912,22,43,0,1
915,14,16,3,1
1165,8,44,20,0
544,11,13,1,1
469,11,9,13,1
367,14,17,1,0
705,6,21,10,0
573,9,18,86,0
364,13,19,7,0
492,9,22,0,0
910,17,23,169,0
236,14,15,10,1
412,7,13,8,0
679,14,20,1,0
584,15,29,6,0
503,13,18,14,1
422,11,16,9,0
359,10,35,60,0
1842,16,62,3,1
1355,14,27,16,0
227,9,25,31,0
1218,13,24,1,1
944,12,59,24,0
272,11,9,9,1
521,9,28,3,1
423,12,15,10,1
595,13,30,0,1
512,11,39,18,0
574,8,10,10,1
814,18,29,124,0
874,10,27,1,0
206,11,23,7,0
1250,9,52,7,1
599,13,33,9,0
609,9,43,10,0
721,9,20,5,0
976,16,51,2,1
506,22,25,32,0
1322,10,59,23,0
364,13,19,10,0
801,8,19,1,1
410,16,15,59,0
863,10,41,4,0
786,12,46,12,0
408,14,15,5,0
802,12,25,17,1
194,11,14,5,0
1381,11,31,69,0
884,18,21,28,0
361,15,23,43,0
272,14,9,11,0
1320,16,31,65,0
1233,14,44,5,1
163,8,15,0,1
741,15,20,3,1
230,37,12,21,1
636,11,45,25,0
530,15,22,22,0
852,15,17,3,1
895,16,18,15,1
939,9,13,3,1
1847,16,40,3,1
511,10,30,82,0
956,17,20,1,1
664,14,13,7,1
407,5,16,7,1
521,15,32,12,0
830,11,20,105,0
715,8,22,20,1
304,10,18,10,0
792,8,9,19,1
223,13,17,26,0
766,11,52,2,0
250,7,10,14,0
1357,12,53,5,1
976,15,51,25,0
428,9,13,0,1
1024,15,28,1,1
415,17,39,73,0
658,16,25,3,1
250,11,14,2,1
1199,13,46,8,1
828,16,38,1,1
875,12,21,30,0
532,7,23,11,0
818,13,28,112,0
1114,15,30,2,1
760,11,6,0,1
502,6,17,4,1
996,13,24,25,0
829,11,25,2,1
365,11,27,14,0
783,15,13,3,1
527,11,29,1,0
279,16,13,1,1
184,12,20,3,1
1900,13,76,29,0
475,9,15,23,0
1426,16,65,75,0
1098,13,35,8,1
1209,14,17,18,1
733,12,50,141,0
651,21,15,69,0
141,9,10,23,1
267,8,13,14,0
144,12,12,1,1
1274,16,16,0,1
1045,15,35,1,1
415,8,27,15,0
1378,8,74,1,1
497,11,26,5,1
271,9,19,0,1
965,14,14,1,1
418,14,27,54,0
1537,14,22,88,0
1090,28,25,192,0
649,20,28,67,0
828,15,38,10,0
611,12,20,18,0
528,12,23,23,1
664,14,15,1,1
1860,8,28,35,0
1762,8,39,3,1
1258,14,47,5,1
783,15,30,4,1
1900,15,76,91,0
223,10,17,40,0
695,16,47,14,0
285,13,31,8,0
451,10,17,14,0
1580,15,45,39,0
819,12,50,80,0
532,7,23,34,0
456,10,25,2,0
783,19,19,49,0
963,12,34,26,0
411,8,16,18,0
1445,15,37,153,0
902,17,29,0,1
451,9,17,9,0
876,23,27,25,1
1791,18,64,4,1
348,9,22,3,0
1227,22,24,12,0
236,14,15,38,0
505,12,19,3,1
1647,22,51,4,1
1452,7,58,10,1
599,13,33,6,0
609,12,26,3,1
365,9,19,6,0
822,16,28,0,1
1416,9,40,269,0
767,8,39,7,0
330,9,14,1,1
741,8,11,3,1
249,12,13,12,1
415,25,39,8,1
937,15,21,9,1
630,10,8,2,1
1380,17,38,137,0
1114,23,30,2,1
1241,23,26,1,0
1449,11,24,106,0
255,17,30,27,0
670,13,19,12,0
518,9,20,1,1
987,6,30,1,1
1116,18,25,8,0
898,22,27,1,1
1118,16,74,199,0
1066,15,22,2,1
1094,14,23,6,0
474,15,28,15,0
961,15,37,1,1
475,19,8,21,0
1018,11,34,27,0
460,7,14,2,1
1241,23,26,26,0
981,17,31,2,1
149,14,11,4,1
1118,14,74,5,0
1118,16,74,86,0
1737,17,77,6,1
852,7,25,15,0
219,20,17,2,1
1068,14,33,12,1
812,11,21,4,0
1610,12,43,3,1
304,7,18,40,0
1959,12,39,14,1
938,10,35,0,1
881,5,24,1,0
863,13,41,18,1
587,4,39,81,0
407,14,18,1,1
924,12,27,9,1
1348,17,23,15,0
236,37,11,23,0
328,20,30,2,1
447,13,23,36,0
1380,16,38,207,0
890,19,24,0,1
923,17,31,1,1
1073,6,35,0,1
748,10,27,16,0
236,11,9,1,0
1719,9,50,5,1
453,8,14,0,1
419,14,19,1,1
1478,19,48,145,0
750,4,32,1,1
1208,15,29,6,1
301,9,19,5,1
816,15,35,46,0
912,11,16,20,1
596,15,21,47,0
1200,17,37,66,0
1638,14,38,0,1
305,8,11,5,1
154,18,10,3,0
624,8,23,8,0
175,13,8,1,1
502,8,41,72,0
1322,12,30,7,1
1165,9,42,8,0
875,11,71,20,0
1162,17,33,6,1
954,15,12,2,1
1438,11,61,4,1
382,14,17,18,0
881,13,24,17,0
263,15,13,0,1
1062,9,46,7,0
1467,11,47,3,1
752,16,20,24,0
502,7,41,20,0
380,10,19,7,1
1847,16,40,8,1
149,17,11,16,0
1348,11,23,4,0
1226,11,26,10,1
1271,7,56,4,0
826,23,36,2,1
1323,18,28,67,0
415,8,27,14,1
299,13,11,7,1
1209,14,17,35,0
1587,16,48,5,1
996,18,31,1,1
1274,16,16,227,0
351,8,23,2,0
141,12,9,24,0
199,23,15,4,0
1135,15,27,46,0
753,10,15,1,1
738,19,22,3,1
872,7,30,1,1
1026,12,52,5,1
108,10,8,4,1
786,12,19,34,0
348,13,15,8,1
1073,11,35,9,1
458,18,18,2,0
184,11,9,39,0
1605,17,57,147,0
447,7,8,19,0
670,17,19,0,1
250,7,10,5,1
327,13,16,8,0
442,10,13,19,0
416,13,10,0,1
616,16,15,23,1
303,12,16,15,0
804,16,21,13,1
219,7,16,5,1
773,15,8,15,0
359,15,20,3,1
1989,15,31,7,1
445,17,14,31,0
226,37,12,22,1
812,10,17,15,0
491,14,20,24,0
327,15,12,2,0
753,11,15,1,1
741,14,20,18,0
286,17,17,1,1
272,9,13,8,0
1689,16,43,11,0
182,14,11,6,1
739,14,8,63,0
714,11,31,21,1
534,19,24,51,0
617,10,37,11,1
1163,22,24,165,0
837,18,43,71,0
1162,7,41,8,0
702,13,21,2,1
717,14,37,15,0
1199,13,46,108,0
249,7,13,3,0
818,13,28,36,0
1625,17,45,11,1
418,8,13,0,0
199,11,15,11,0
638,11,51,6,1
448,5,17,0,0
196,13,14,3,0
596,16,21,30,0
1140,11,24,5,0
1605,17,57,146,0
1207,14,31,0,0
937,15,21,6,0
1238,13,49,1,1
946,15,21,9,0
460,14,14,0,1
315,12,12,3,1
273,14,15,1,1
897,12,31,37,0
495,13,13,2,1
622,17,26,28,0
786,12,46,19,0
481,8,17,2,1
451,8,17,23,0
474,13,28,10,1
741,19,20,3,1
267,8,10,8,0
253,12,16,22,0
458,24,11,1,1
586,15,20,15,0
685,17,21,76,0
491,16,22,9,1
179,13,6,3,1
518,10,20,12,1
367,16,17,8,0
528,12,25,2,1
334,11,10,6,1
350,15,13,0,1
203,10,15,0,0
874,20,15,38,0
502,19,72,88,0
748,10,27,45,0
1066,12,22,2,1
1051,17,32,44,0
1068,10,33,38,0
312,18,8,10,1
1082,22,17,4,1
1102,11,26,13,1
231,11,9,0,1
859,17,13,11,0
321,11,15,28,0
378,12,13,3,0
417,10,23,32,0
478,10,17,4,1
270,11,10,15,0
175,12,8,8,0
232,37,9,7,0
244,10,9,8,1
1104,7,29,13,1
257,11,13,7,0
217,11,19,21,1
625,12,16,4,0
776,12,20,9,0
601,18,23,5,0
660,12,24,53,0
794,13,24,11,0
599,13,33,8,1
298,16,21,23,0
561,13,21,7,0
913,24,35,35,0
511,17,19,51,0
727,8,22,139,0
872,7,30,5,1
612,8,45,3,0
1259,12,36,105,0
502,7,41,0,1
1287,7,24,9,1
1047,10,34,2,1
180,9,7,6,1
727,8,22,4,0
344,14,14,5,0
554,13,20,6,1
382,15,20,17,0
912,24,43,6,0
703,9,22,26,0
1274,12,31,22,1
1259,10,36,7,0
1548,15,46,9,1
661,10,19,0,1
463,11,20,4,0
944,9,59,35,0
794,13,24,35,0
587,6,39,4,1
275,11,10,1,0
372,7,16,5,1
745,14,12,1,1
783,28,19,21,1
956,17,20,1,1
1073,10,27,1,1
751,9,26,22,0
543,12,14,13,0
1363,8,53,3,1
710,16,17,7,1
599,13,33,78,0
298,12,21,1,0
180,7,7,4,0
745,18,34,75,0
1086,9,20,0,1
534,19,24,61,0
1162,14,41,48,0
819,21,14,1,1
552,22,38,104,0
1572,20,52,11,0
285,13,31,60,0
1513,12,28,8,1
1105,14,38,4,1
161,13,9,2,1
812,15,24,40,0
979,15,49,18,0
595,13,30,39,0
1951,12,60,6,1
273,9,11,2,0
612,11,22,9,1
1458,15,54,107,0
353,8,23,68,0
1090,14,25,133,0
1402,14,45,5,1
1605,17,57,106,0
1285,19,18,20,0
292,18,13,7,0
1218,16,24,34,0
1962,16,54,45,0
304,7,18,39,0
1259,14,39,18,0
776,12,20,28,0
652,7,38,107,0
410,16,15,64,0
155,7,9,2,1
996,15,24,48,0
771,12,14,5,0
923,13,19,10,0
367,12,12,42,0
418,14,27,55,0
876,13,23,27,0
413,15,16,0,1
508,19,15,8,1
340,9,30,6,0
636,12,45,13,0
987,6,30,2,1
985,21,30,15,1
1085,7,26,0,0
1024,23,19,152,0
629,12,15,9,1
893,9,24,19,0
1200,6,36,0,1
1094,14,23,5,0
821,15,16,16,1
534,17,18,1,1
938,9,35,3,1
112,8,8,2,1
425,12,21,4,1
399,14,11,4,1
932,14,29,37,0
1587,14,48,15,0
884,14,21,5,0
937,20,21,10,1
931,10,39,1,0
936,16,12,21,0
333,9,17,10,0
461,12,16,3,1
361,17,23,36,0
1539,15,14,6,1
679,13,20,4,0
559,10,6,0,0
685,17,21,5,1
217,11,19,19,0
1102,7,43,4,1
517,14,14,19,0
1023,13,25,2,1
812,11,24,9,1
821,17,30,22,1
782,14,23,21,0
315,19,24,0,1
601,10,23,1,0
1636,13,65,48,0
979,18,49,130,0
655,9,41,3,1
593,13,16,0,1
1132,20,28,2,1
792,13,18,8,0
381,8,10,22,0
1047,10,34,14,1
565,10,12,40,0
775,10,26,37,0
1261,8,44,30,0
340,11,15,12,0
790,9,18,1,1
1075,12,44,2,0
1064,13,19,0,1
207,10,10,6,0
531,11,16,4,1
1608,15,75,4,0
638,9,51,84,0
1416,17,41,4,1
1349,13,42,5,1
227,8,25,46,0
571,10,15,0,1
1011,13,19,11,1
1027,13,18,2,1
755,10,23,6,0
279,13,8,11,1
310,14,26,1,1
180,9,7,20,0
861,14,23,4,0
648,16,19,32,0
630,16,19,47,0
863,17,18,4,1
1219,20,30,10,1
609,12,26,42,0
1608,8,75,14,1
561,10,21,0,1
654,11,25,2,1
1051,10,17,33,0
1548,15,46,278,0
1951,12,60,17,0
296,8,22,4,0
571,11,31,8,1
181,12,7,18,1
829,11,24,11,0
315,10,13,21,0
601,10,23,5,1
1045,15,35,7,1
1200,9,36,23,0
310,10,26,9,0
888,17,10,23,1
212,15,14,13,0
518,9,20,5,1
612,14,22,3,1
806,12,27,1,1
595,13,30,7,0
1445,20,37,3,1
531,11,16,81,0
235,37,11,28,0
989,15,24,3,1
820,17,12,2,1
763,8,21,19,0
1278,23,28,34,0
596,15,21,10,1
732,12,33,9,1
718,15,26,1,1
1261,20,44,86,0
1209,15,23,20,1
1146,15,21,60,0
583,13,16,0,0
678,21,22,23,0
273,15,15,11,0
257,10,13,7,1
661,9,19,19,0
1322,12,59,28,0
359,11,20,3,1
458,16,11,6,0
723,11,17,1,1
702,11,21,3,0
605,14,15,8,0
162,12,14,27,0
848,12,17,3,1
270,8,10,3,0
553,15,19,19,0
881,20,29,1,1
315,19,24,3,0
1632,11,34,24,0
234,13,12,9,1
445,24,14,5,1
910,9,26,5,1
587,4,39,84,0
821,17,30,23,0
283,13,19,17,0
479,11,13,4,1
429,8,26,7,1
373,7,11,7,0
812,10,17,3,1
361,17,23,3,1
885,16,20,6,0
1102,15,26,5,1
530,15,22,1,1
1048,16,32,22,0
1086,10,57,11,0
352,8,19,4,1
852,12,17,6,0
767,8,39,6,1
1029,10,18,128,0
236,11,9,7,1
1132,13,28,28,0
1064,16,15,4,1
497,11,23,6,1
1086,15,32,12,1
1036,9,22,13,1
1163,11,38,16,0
571,13,31,90,0
760,15,15,40,0
609,12,26,27,0
682,9,10,8,0
1018,13,34,6,0
267,12,14,7,0
1129,12,7,48,0
1001,13,45,46,0
422,14,31,51,0
1572,20,52,41,0
361,17,23,38,1
1045,15,35,1,1
636,11,45,23,0
994,13,19,3,1
875,12,71,15,0
1073,16,26,49,0
888,13,42,1,1
1018,13,34,16,0
937,12,30,1,0
779,17,22,98,0
1322,15,42,4,0
622,8,26,0,1
526,15,19,5,1
672,11,73,2,0
861,13,23,3,1
334,11,10,6,0
1064,16,15,3,1
1261,8,44,1,1
1024,12,15,87,0
741,12,20,39,0
532,16,23,4,0
1824,17,31,62,0
413,11,16,0,1
575,23,19,45,0
527,14,29,0,1
359,12,35,4,1
1247,14,31,1,0
250,9,10,14,1
868,12,29,11,0
1819,15,47,4,1
1825,23,63,54,0
738,19,22,24,0
511,11,19,1,0
783,15,13,30,0
511,17,19,35,0
